Fold,R²,MAE,RMSE
1,0.417886018621231,46.092783150795306,75.3627768240716
2,0.539808879975955,40.1629021547168,70.35464228401483
3,0.5721138976347567,35.83813288532907,64.29532878739562
4,0.5811603376457166,31.200026793437868,63.51967615931622
5,0.40719259521603124,46.723645258668256,69.42925190469109
